Name,Team,xMLBAMID,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,xAVG,SLG,xSLG
Davis Schneider,TOR,676914,82.0,188.0,227.0,44.0,28.0,5.0,0.0,11.0,33.0,31.0,36.0,0.0,60.0,2.0,1.0,0.0,4.0,3.0,1.0,0.234,0.197,0.436,0.423
Kyle Manzardo,CLE,700932,142.0,470.0,531.0,110.0,62.0,19.0,2.0,27.0,47.0,70.0,48.0,2.0,135.0,8.0,5.0,0.0,7.0,2.0,0.0,0.234,0.231,0.455,0.458
Nacho Alvarez Jr.,ATL,805373,58.0,188.0,208.0,44.0,30.0,12.0,0.0,2.0,18.0,15.0,12.0,0.0,49.0,5.0,1.0,2.0,1.0,0.0,0.0,0.234,0.232,0.33,0.308
Ha-seong Kim,ATL,673490,48.0,171.0,191.0,40.0,31.0,4.0,0.0,5.0,19.0,17.0,16.0,0.0,39.0,2.0,2.0,0.0,2.0,6.0,2.0,0.234,0.249,0.345,0.36
Yoan Moncada,LAA,660162,84.0,248.0,289.0,58.0,31.0,13.0,2.0,12.0,39.0,35.0,32.0,1.0,75.0,7.0,2.0,0.0,4.0,0.0,0.0,0.234,0.23,0.448,0.433
Lars Nootbaar,STL,663457,135.0,509.0,583.0,119.0,81.0,24.0,1.0,13.0,68.0,48.0,64.0,3.0,119.0,6.0,3.0,1.0,4.0,4.0,5.0,0.234,0.241,0.361,0.407
Lawrence Butler,ATH,671732,152.0,569.0,630.0,133.0,80.0,30.0,2.0,21.0,83.0,63.0,59.0,0.0,179.0,0.0,0.0,2.0,7.0,22.0,7.0,0.234,0.238,0.404,0.405
Brady House,WSN,691781,73.0,261.0,274.0,61.0,46.0,11.0,0.0,4.0,26.0,29.0,8.0,0.0,78.0,0.0,5.0,0.0,11.0,5.0,3.0,0.234,0.263,0.322,0.374
Otto Kemp,PHI,805249,62.0,197.0,218.0,46.0,27.0,11.0,0.0,8.0,26.0,28.0,12.0,0.0,67.0,7.0,2.0,0.0,4.0,2.0,2.0,0.234,0.24,0.411,0.428
Mark Vientos,NYM,668901,121.0,424.0,463.0,99.0,59.0,21.0,2.0,17.0,44.0,61.0,30.0,0.0,115.0,5.0,4.0,0.0,11.0,1.0,0.0,0.233,0.252,0.413,0.438
Jonathan India,KCR,663697,136.0,497.0,567.0,116.0,78.0,29.0,0.0,9.0,63.0,45.0,54.0,0.0,106.0,13.0,2.0,1.0,9.0,0.0,4.0,0.233,0.247,0.346,0.387
Curtis Mead,CHW,678554,90.0,240.0,264.0,56.0,42.0,10.0,1.0,3.0,26.0,19.0,15.0,0.0,63.0,8.0,1.0,0.0,9.0,5.0,1.0,0.233,0.238,0.321,0.353
Brenton Doyle,COL,686668,138.0,502.0,538.0,117.0,77.0,23.0,2.0,15.0,57.0,57.0,30.0,0.0,138.0,0.0,4.0,2.0,14.0,18.0,2.0,0.233,0.249,0.376,0.422
Mike Yastrzemski,KCR,573262,147.0,477.0,558.0,111.0,65.0,28.0,1.0,17.0,68.0,46.0,72.0,4.0,108.0,2.0,5.0,2.0,7.0,7.0,2.0,0.233,0.246,0.403,0.429
Brayan Rocchio,CLE,677587,115.0,344.0,383.0,80.0,55.0,18.0,2.0,5.0,34.0,44.0,22.0,0.0,77.0,8.0,5.0,4.0,4.0,8.0,4.0,0.233,0.249,0.34,0.36
Mike Trout,LAA,545361,130.0,456.0,556.0,106.0,65.0,14.0,1.0,26.0,73.0,64.0,87.0,10.0,178.0,6.0,6.0,0.0,7.0,2.0,0.0,0.232,0.246,0.439,0.49
Michael Helman,TEX,680737,38.0,99.0,110.0,23.0,12.0,5.0,1.0,5.0,18.0,20.0,7.0,0.0,21.0,1.0,0.0,3.0,0.0,4.0,0.0,0.232,0.188,0.455,0.339
Marcell Ozuna,ATL,542303,145.0,487.0,592.0,113.0,73.0,19.0,0.0,21.0,61.0,68.0,94.0,2.0,144.0,3.0,7.0,0.0,11.0,0.0,0.0,0.232,0.249,0.4,0.464
Nasim Nunez,WSN,683083,39.0,82.0,92.0,19.0,13.0,2.0,0.0,4.0,13.0,13.0,8.0,0.0,20.0,0.0,1.0,1.0,1.0,9.0,1.0,0.232,0.248,0.402,0.374
Jacob Young,WSN,696285,120.0,324.0,364.0,75.0,62.0,10.0,1.0,2.0,34.0,31.0,27.0,0.0,65.0,3.0,1.0,9.0,7.0,15.0,11.0,0.231,0.268,0.287,0.341
Brandon Lockridge,MIL,663604,67.0,134.0,148.0,31.0,23.0,7.0,1.0,0.0,17.0,11.0,8.0,0.0,36.0,1.0,2.0,3.0,2.0,10.0,1.0,0.231,0.239,0.299,0.314
Matt Chapman,SFG,656305,128.0,454.0,535.0,105.0,59.0,23.0,2.0,21.0,76.0,61.0,71.0,1.0,126.0,6.0,4.0,0.0,8.0,9.0,4.0,0.231,0.254,0.43,0.439
Yohel Pozo,STL,650968,67.0,160.0,168.0,37.0,24.0,8.0,0.0,5.0,16.0,19.0,7.0,0.0,22.0,0.0,1.0,0.0,4.0,0.0,0.0,0.231,0.246,0.375,0.355
Darell Hernaiz,ATH,687231,51.0,173.0,197.0,40.0,32.0,5.0,1.0,2.0,17.0,16.0,17.0,0.0,24.0,0.0,5.0,2.0,2.0,3.0,4.0,0.231,0.259,0.306,0.355
Agustin Ramirez,MIA,682663,136.0,537.0,585.0,124.0,69.0,33.0,1.0,21.0,72.0,67.0,36.0,2.0,113.0,8.0,4.0,0.0,13.0,16.0,3.0,0.231,0.27,0.413,0.466
Tyler Stephenson,CIN,663886,88.0,299.0,342.0,69.0,38.0,18.0,0.0,13.0,40.0,50.0,37.0,1.0,116.0,2.0,4.0,0.0,4.0,0.0,1.0,0.231,0.226,0.421,0.429
Tristan Gray,TBR,656484,30.0,78.0,86.0,18.0,10.0,5.0,0.0,3.0,9.0,9.0,6.0,0.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.231,0.269,0.41,0.485
Blaze Alexander,ARI,677942,74.0,230.0,266.0,53.0,33.0,12.0,1.0,7.0,31.0,28.0,22.0,0.0,86.0,10.0,1.0,3.0,5.0,4.0,6.0,0.23,0.219,0.383,0.382
Pedro Pages,STL,686780,112.0,361.0,389.0,83.0,57.0,15.0,0.0,11.0,38.0,45.0,19.0,1.0,107.0,3.0,3.0,3.0,9.0,0.0,0.0,0.23,0.215,0.363,0.347
Joey Ortiz,MIL,687401,149.0,470.0,506.0,108.0,82.0,18.0,1.0,7.0,62.0,45.0,27.0,0.0,74.0,3.0,0.0,6.0,10.0,14.0,3.0,0.23,0.25,0.317,0.332
Denzel Clarke,ATH,672016,47.0,148.0,159.0,34.0,21.0,8.0,2.0,3.0,18.0,8.0,6.0,0.0,61.0,3.0,0.0,2.0,1.0,6.0,0.0,0.23,0.208,0.372,0.333
Nick Fortes,TBR,663743,97.0,218.0,242.0,50.0,35.0,9.0,1.0,5.0,19.0,21.0,14.0,0.0,47.0,7.0,1.0,2.0,7.0,1.0,0.0,0.229,0.221,0.349,0.328
Jose Iglesias,SDP,578428,112.0,306.0,343.0,70.0,56.0,11.0,0.0,3.0,29.0,36.0,24.0,0.0,56.0,7.0,2.0,4.0,7.0,5.0,1.0,0.229,0.247,0.294,0.325
Rowdy Tellez,TEX,642133,112.0,289.0,312.0,66.0,38.0,11.0,0.0,17.0,34.0,49.0,17.0,0.0,83.0,3.0,3.0,0.0,9.0,1.0,0.0,0.228,0.245,0.443,0.494
Cody Freeman,TEX,683227,36.0,114.0,121.0,26.0,19.0,4.0,0.0,3.0,13.0,15.0,5.0,0.0,19.0,0.0,1.0,1.0,3.0,1.0,1.0,0.228,0.248,0.342,0.329
Taylor Ward,LAA,621493,157.0,579.0,663.0,132.0,63.0,31.0,2.0,36.0,86.0,103.0,75.0,1.0,175.0,3.0,6.0,0.0,13.0,4.0,1.0,0.228,0.242,0.475,0.465
Paul DeJong,WSN,657557,57.0,193.0,208.0,44.0,28.0,10.0,0.0,6.0,18.0,23.0,11.0,0.0,70.0,1.0,3.0,0.0,3.0,4.0,0.0,0.228,0.2,0.373,0.355
Randal Grichuk,KCR,545341,113.0,272.0,293.0,62.0,34.0,18.0,1.0,9.0,35.0,27.0,17.0,1.0,61.0,1.0,3.0,0.0,6.0,0.0,1.0,0.228,0.269,0.401,0.475
Eugenio Suarez,SEA,553993,159.0,588.0,657.0,134.0,57.0,28.0,0.0,49.0,91.0,118.0,46.0,2.0,196.0,16.0,7.0,0.0,11.0,4.0,1.0,0.228,0.217,0.526,0.468
Nathaniel Lowe,BOS,663993,153.0,540.0,609.0,123.0,79.0,23.0,3.0,18.0,64.0,84.0,62.0,2.0,159.0,2.0,5.0,0.0,6.0,1.0,0.0,0.228,0.237,0.381,0.385
Kyle Farmer,COL,571657,97.0,277.0,300.0,63.0,41.0,14.0,0.0,8.0,24.0,31.0,17.0,0.0,66.0,4.0,2.0,0.0,9.0,0.0,1.0,0.227,0.233,0.365,0.358
Dylan Beavers,BAL,687637,35.0,110.0,137.0,25.0,15.0,5.0,1.0,4.0,16.0,14.0,26.0,0.0,36.0,0.0,0.0,1.0,0.0,2.0,2.0,0.227,0.221,0.4,0.418
Adolis Garcia,TEX,666969,135.0,507.0,547.0,115.0,68.0,28.0,0.0,19.0,58.0,75.0,28.0,1.0,135.0,5.0,7.0,0.0,9.0,13.0,4.0,0.227,0.244,0.394,0.444
Jared Triolo,PIT,669707,107.0,331.0,376.0,75.0,48.0,18.0,2.0,7.0,41.0,24.0,39.0,1.0,76.0,2.0,1.0,3.0,4.0,13.0,2.0,0.227,0.248,0.356,0.4
Matt Shaw,CHC,807713,126.0,393.0,437.0,89.0,52.0,21.0,3.0,13.0,57.0,44.0,38.0,0.0,94.0,2.0,4.0,0.0,2.0,17.0,5.0,0.226,0.248,0.394,0.388
Willi Castro,CHC,650489,120.0,402.0,454.0,91.0,60.0,17.0,3.0,11.0,58.0,33.0,40.0,1.0,111.0,11.0,0.0,1.0,12.0,10.0,4.0,0.226,0.239,0.366,0.371
Kyle Karros,COL,691720,43.0,137.0,156.0,31.0,26.0,4.0,0.0,1.0,20.0,9.0,15.0,0.0,41.0,2.0,2.0,0.0,5.0,0.0,0.0,0.226,0.212,0.277,0.269
Ronny Mauricio,NYM,677595,61.0,168.0,184.0,38.0,26.0,6.0,0.0,6.0,19.0,10.0,15.0,1.0,54.0,1.0,0.0,0.0,5.0,4.0,0.0,0.226,0.227,0.369,0.376
Will Benson,CIN,666181,90.0,230.0,253.0,52.0,30.0,8.0,2.0,12.0,31.0,41.0,16.0,1.0,67.0,1.0,6.0,0.0,4.0,2.0,2.0,0.226,0.275,0.435,0.531
Luis Torrens,NYM,620443,93.0,261.0,283.0,59.0,39.0,14.0,1.0,5.0,20.0,29.0,19.0,0.0,56.0,2.0,0.0,1.0,7.0,1.0,0.0,0.226,0.285,0.345,0.472
Blake Perkins,MIL,663368,54.0,155.0,171.0,35.0,24.0,6.0,2.0,3.0,25.0,19.0,15.0,0.0,47.0,1.0,0.0,0.0,4.0,7.0,2.0,0.226,0.226,0.348,0.32
Reese McGuire,CHC,624512,45.0,133.0,140.0,30.0,19.0,2.0,0.0,9.0,17.0,24.0,4.0,0.0,27.0,0.0,2.0,1.0,3.0,0.0,0.0,0.226,0.221,0.444,0.377
Tommy Edman,LAD,669242,97.0,346.0,377.0,78.0,51.0,13.0,1.0,13.0,49.0,49.0,19.0,0.0,61.0,6.0,5.0,1.0,4.0,3.0,1.0,0.225,0.279,0.382,0.421
Willy Adames,SFG,642715,160.0,591.0,686.0,133.0,79.0,22.0,2.0,30.0,94.0,87.0,80.0,2.0,179.0,5.0,9.0,0.0,9.0,12.0,4.0,0.225,0.235,0.421,0.452
Colby Thomas,ATH,687515,49.0,120.0,132.0,27.0,16.0,5.0,0.0,6.0,20.0,19.0,7.0,0.0,49.0,1.0,3.0,1.0,3.0,2.0,1.0,0.225,0.212,0.417,0.39
Will Wagner,SDP,695238,55.0,129.0,149.0,29.0,22.0,7.0,0.0,0.0,15.0,7.0,17.0,0.0,28.0,2.0,0.0,1.0,3.0,1.0,0.0,0.225,0.273,0.279,0.346
Yanquiel Fernandez,COL,692585,52.0,138.0,147.0,31.0,22.0,5.0,0.0,4.0,13.0,11.0,8.0,0.0,44.0,0.0,1.0,0.0,4.0,0.0,0.0,0.225,0.196,0.348,0.319
Ezequiel Duran,TEX,677649,90.0,205.0,219.0,46.0,32.0,14.0,0.0,0.0,16.0,14.0,8.0,0.0,55.0,4.0,1.0,1.0,3.0,11.0,2.0,0.224,0.221,0.293,0.3
Angel Martinez,CLE,682657,139.0,446.0,484.0,100.0,64.0,23.0,2.0,11.0,56.0,45.0,23.0,0.0,110.0,6.0,4.0,5.0,8.0,8.0,2.0,0.224,0.222,0.359,0.325
Johan Rojas,PHI,679032,71.0,152.0,172.0,34.0,28.0,3.0,2.0,1.0,23.0,18.0,13.0,0.0,40.0,0.0,3.0,4.0,2.0,12.0,2.0,0.224,0.237,0.289,0.314
Graham Pauley,MIA,688363,62.0,161.0,184.0,36.0,22.0,9.0,1.0,4.0,18.0,11.0,21.0,0.0,36.0,0.0,1.0,1.0,1.0,2.0,0.0,0.224,0.232,0.366,0.354
Robert Hassell III,WSN,690987,70.0,197.0,206.0,44.0,32.0,9.0,0.0,3.0,22.0,18.0,8.0,0.0,62.0,1.0,0.0,0.0,4.0,4.0,0.0,0.223,0.234,0.315,0.381
Kristian Campbell,BOS,692225,67.0,229.0,263.0,51.0,35.0,10.0,0.0,6.0,24.0,21.0,29.0,0.0,72.0,4.0,1.0,0.0,1.0,2.0,1.0,0.223,0.222,0.345,0.338
Tyrone Taylor,NYM,621438,113.0,310.0,341.0,69.0,46.0,18.0,3.0,2.0,34.0,27.0,16.0,1.0,76.0,9.0,2.0,3.0,4.0,12.0,2.0,0.223,0.265,0.319,0.374
Luis Robert Jr.,CHW,673357,110.0,382.0,431.0,85.0,59.0,12.0,0.0,14.0,52.0,53.0,40.0,3.0,112.0,2.0,3.0,1.0,8.0,33.0,8.0,0.223,0.256,0.364,0.438
Patrick Bailey,SFG,672275,135.0,409.0,452.0,91.0,64.0,18.0,3.0,6.0,47.0,55.0,30.0,0.0,133.0,3.0,6.0,4.0,7.0,1.0,0.0,0.222,0.213,0.325,0.334
Justyn-Henry Malloy,DET,669234,52.0,104.0,127.0,23.0,16.0,6.0,0.0,1.0,15.0,17.0,20.0,0.0,32.0,1.0,2.0,0.0,1.0,0.0,0.0,0.221,0.202,0.308,0.316
Nick Allen,ATL,669397,135.0,371.0,416.0,82.0,71.0,11.0,0.0,0.0,32.0,22.0,31.0,0.0,99.0,3.0,3.0,8.0,8.0,8.0,7.0,0.221,0.223,0.251,0.268
Luis Matos,SFG,682641,57.0,172.0,184.0,38.0,20.0,9.0,1.0,8.0,26.0,22.0,11.0,0.0,27.0,0.0,1.0,0.0,5.0,4.0,0.0,0.221,0.23,0.424,0.383
Andrew Knizner,SFG,668800,33.0,77.0,88.0,17.0,14.0,1.0,1.0,1.0,12.0,5.0,7.0,0.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.221,0.235,0.299,0.322
Adley Rutschman,BAL,668939,90.0,322.0,365.0,71.0,44.0,16.0,2.0,9.0,37.0,29.0,40.0,0.0,57.0,1.0,2.0,0.0,8.0,0.0,0.0,0.22,0.251,0.366,0.421
Gabriel Arias,CLE,672356,129.0,432.0,471.0,95.0,57.0,25.0,2.0,11.0,44.0,54.0,27.0,1.0,162.0,7.0,4.0,1.0,8.0,8.0,4.0,0.22,0.222,0.363,0.398
Alex Jackson,BAL,656577,37.0,91.0,100.0,20.0,7.0,8.0,0.0,5.0,17.0,8.0,5.0,0.0,37.0,4.0,0.0,0.0,2.0,0.0,0.0,0.22,0.195,0.473,0.401
Edouard Julien,MIN,666397,64.0,182.0,208.0,40.0,27.0,10.0,0.0,3.0,13.0,12.0,22.0,0.0,61.0,2.0,1.0,1.0,3.0,0.0,3.0,0.22,0.251,0.324,0.437
Josh Lowe,TBR,666139,108.0,396.0,435.0,87.0,53.0,21.0,2.0,11.0,56.0,40.0,33.0,1.0,109.0,3.0,2.0,1.0,7.0,18.0,4.0,0.22,0.244,0.366,0.379
Matt McLain,CIN,680574,147.0,510.0,577.0,112.0,79.0,18.0,0.0,15.0,73.0,50.0,55.0,0.0,167.0,5.0,4.0,3.0,8.0,18.0,2.0,0.22,0.218,0.343,0.364
C.J. Kayfus,CLE,692216,44.0,123.0,138.0,27.0,12.0,10.0,1.0,4.0,16.0,19.0,11.0,0.0,38.0,2.0,1.0,1.0,0.0,4.0,0.0,0.22,0.252,0.415,0.442
Austin Wells,NYY,669224,126.0,401.0,448.0,88.0,44.0,22.0,1.0,21.0,51.0,71.0,30.0,0.0,118.0,5.0,11.0,0.0,10.0,5.0,1.0,0.219,0.221,0.436,0.411
Christopher Morel,TBR,666624,105.0,278.0,305.0,61.0,34.0,16.0,0.0,11.0,37.0,33.0,25.0,0.0,109.0,2.0,0.0,0.0,8.0,7.0,2.0,0.219,0.225,0.396,0.442
Carlos Santana,CHC,467793,124.0,415.0,474.0,91.0,69.0,11.0,0.0,11.0,49.0,54.0,52.0,1.0,91.0,3.0,4.0,0.0,7.0,7.0,0.0,0.219,0.222,0.325,0.349
Justin Turner,CHC,457759,80.0,169.0,191.0,37.0,27.0,7.0,0.0,3.0,14.0,18.0,17.0,0.0,37.0,1.0,4.0,0.0,3.0,2.0,0.0,0.219,0.24,0.314,0.362
Alexander Canario,PIT,672744,87.0,216.0,234.0,47.0,34.0,6.0,1.0,6.0,25.0,20.0,17.0,0.0,80.0,0.0,1.0,0.0,5.0,3.0,1.0,0.218,0.226,0.338,0.416
Coby Mayo,BAL,691723,85.0,263.0,294.0,57.0,34.0,12.0,0.0,11.0,30.0,28.0,27.0,0.0,84.0,4.0,0.0,0.0,2.0,3.0,0.0,0.217,0.209,0.388,0.372
Tyler Fitzgerald,SFG,666149,72.0,217.0,243.0,47.0,32.0,10.0,1.0,4.0,19.0,14.0,17.0,0.0,70.0,2.0,1.0,6.0,3.0,9.0,4.0,0.217,0.198,0.327,0.289
Derek Hill,CHW,656537,57.0,134.0,149.0,29.0,20.0,6.0,0.0,3.0,19.0,11.0,9.0,0.0,48.0,3.0,0.0,3.0,3.0,7.0,0.0,0.216,0.245,0.328,0.422
Austin Slater,NYY,596103,65.0,148.0,160.0,32.0,20.0,6.0,1.0,5.0,22.0,13.0,11.0,0.0,51.0,0.0,0.0,1.0,6.0,1.0,0.0,0.216,0.263,0.372,0.499
Cedric Mullins,NYM,656775,133.0,435.0,498.0,94.0,53.0,23.0,1.0,17.0,58.0,59.0,50.0,0.0,120.0,4.0,6.0,3.0,2.0,22.0,4.0,0.216,0.215,0.391,0.351
Victor Scott II,STL,687363,138.0,398.0,463.0,86.0,65.0,15.0,1.0,5.0,54.0,37.0,42.0,0.0,111.0,10.0,3.0,10.0,3.0,34.0,4.0,0.216,0.23,0.296,0.318
Max Kepler,PHI,596146,127.0,417.0,474.0,90.0,53.0,19.0,0.0,18.0,58.0,52.0,48.0,3.0,93.0,4.0,4.0,1.0,10.0,3.0,0.0,0.216,0.254,0.391,0.455
Danny Jansen,MIL,643376,98.0,288.0,337.0,62.0,37.0,11.0,0.0,14.0,38.0,36.0,42.0,0.0,86.0,4.0,2.0,1.0,5.0,0.0,0.0,0.215,0.21,0.399,0.365
Jordan Walker,STL,691023,111.0,363.0,396.0,78.0,58.0,13.0,1.0,6.0,40.0,41.0,29.0,1.0,126.0,3.0,1.0,0.0,9.0,10.0,3.0,0.215,0.219,0.306,0.377
Parker Meadows,DET,678009,58.0,191.0,213.0,41.0,29.0,6.0,2.0,4.0,22.0,16.0,21.0,0.0,56.0,0.0,1.0,0.0,0.0,4.0,0.0,0.215,0.234,0.33,0.361
Ryan McMahon,NYY,641857,154.0,509.0,586.0,109.0,65.0,23.0,1.0,20.0,62.0,53.0,70.0,1.0,189.0,4.0,3.0,0.0,7.0,3.0,1.0,0.214,0.229,0.381,0.438
Max Muncy,ATH,691777,63.0,206.0,220.0,44.0,28.0,7.0,0.0,9.0,17.0,23.0,10.0,0.0,68.0,3.0,1.0,0.0,1.0,1.0,1.0,0.214,0.213,0.379,0.369
Kameron Misner,TBR,670224,71.0,197.0,217.0,42.0,27.0,9.0,1.0,5.0,27.0,22.0,16.0,0.0,69.0,1.0,2.0,1.0,1.0,8.0,1.0,0.213,0.193,0.345,0.298
Braxton Fulford,COL,690924,38.0,108.0,120.0,23.0,15.0,5.0,2.0,1.0,11.0,16.0,7.0,0.0,36.0,2.0,3.0,0.0,1.0,1.0,0.0,0.213,0.203,0.324,0.331
Logan O'Hoppe,LAA,681351,119.0,423.0,451.0,90.0,62.0,8.0,1.0,19.0,35.0,43.0,24.0,0.0,139.0,2.0,1.0,1.0,12.0,2.0,1.0,0.213,0.237,0.371,0.436
Jonah Heim,TEX,641680,124.0,395.0,433.0,84.0,59.0,14.0,0.0,11.0,38.0,43.0,32.0,0.0,88.0,1.0,4.0,1.0,10.0,3.0,0.0,0.213,0.226,0.332,0.35
Kody Clemens,MIN,665019,119.0,348.0,386.0,74.0,39.0,12.0,4.0,19.0,46.0,52.0,29.0,1.0,93.0,5.0,2.0,2.0,4.0,5.0,1.0,0.213,0.252,0.434,0.479
Alejandro Osuna,TEX,696030,63.0,151.0,176.0,32.0,26.0,4.0,0.0,2.0,12.0,15.0,21.0,1.0,34.0,2.0,2.0,0.0,1.0,5.0,4.0,0.212,0.275,0.278,0.398
JJ Bleday,ATH,668709,98.0,307.0,344.0,65.0,34.0,17.0,0.0,14.0,48.0,39.0,36.0,2.0,91.0,0.0,1.0,0.0,6.0,1.0,2.0,0.212,0.204,0.404,0.36
Anthony Volpe,NYY,683011,153.0,539.0,596.0,114.0,59.0,32.0,4.0,19.0,65.0,72.0,43.0,0.0,150.0,4.0,7.0,3.0,10.0,18.0,8.0,0.212,0.233,0.391,0.417
Nolan Jones,CLE,666134,136.0,355.0,403.0,75.0,54.0,14.0,2.0,5.0,34.0,34.0,39.0,1.0,113.0,5.0,3.0,1.0,6.0,8.0,3.0,0.211,0.233,0.304,0.384
Chas McCormick,HOU,676801,66.0,100.0,116.0,21.0,15.0,5.0,0.0,1.0,13.0,5.0,9.0,0.0,31.0,1.0,1.0,5.0,1.0,2.0,3.0,0.21,0.24,0.29,0.382
Andres Gimenez,TOR,665926,101.0,329.0,369.0,69.0,50.0,11.0,1.0,7.0,39.0,35.0,25.0,0.0,66.0,11.0,3.0,1.0,8.0,12.0,2.0,0.21,0.258,0.313,0.368
Rafael Marchan,PHI,665561,42.0,105.0,118.0,22.0,16.0,4.0,0.0,2.0,9.0,13.0,10.0,0.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21,0.216,0.305,0.298
Mitch Garver,SEA,641598,87.0,254.0,290.0,53.0,38.0,5.0,1.0,9.0,29.0,30.0,30.0,1.0,80.0,3.0,3.0,0.0,6.0,3.0,0.0,0.209,0.213,0.343,0.383
Nick Loftin,KCR,679845,67.0,168.0,188.0,35.0,20.0,9.0,2.0,4.0,17.0,20.0,14.0,0.0,27.0,3.0,2.0,1.0,7.0,1.0,1.0,0.208,0.244,0.357,0.379
Dylan Crews,WSN,686611,85.0,293.0,322.0,61.0,41.0,8.0,2.0,10.0,43.0,27.0,24.0,0.0,76.0,5.0,0.0,0.0,4.0,17.0,5.0,0.208,0.246,0.352,0.418
Christian Encarnacion-Strand,CIN,687952,36.0,130.0,137.0,27.0,17.0,4.0,0.0,6.0,13.0,19.0,3.0,0.0,32.0,2.0,2.0,0.0,1.0,0.0,2.0,0.208,0.218,0.377,0.417
Daniel Schneemann,CLE,682177,131.0,379.0,422.0,78.0,47.0,18.0,1.0,12.0,48.0,41.0,38.0,1.0,117.0,3.0,1.0,1.0,4.0,9.0,3.0,0.206,0.225,0.354,0.407
Nolan Gorman,STL,669357,111.0,351.0,402.0,72.0,43.0,14.0,1.0,14.0,48.0,46.0,47.0,2.0,136.0,0.0,4.0,0.0,1.0,1.0,1.0,0.205,0.203,0.37,0.401
Bob Seymour,TBR,676044,26.0,78.0,83.0,16.0,13.0,1.0,1.0,1.0,9.0,5.0,4.0,0.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.205,0.202,0.282,0.274
Martin Maldonado,SDP,455117,64.0,147.0,161.0,30.0,20.0,6.0,0.0,4.0,11.0,12.0,8.0,0.0,57.0,0.0,0.0,6.0,3.0,0.0,0.0,0.204,0.2,0.327,0.366
Elias Diaz,SDP,553869,106.0,255.0,283.0,52.0,36.0,7.0,0.0,9.0,34.0,29.0,21.0,0.0,74.0,2.0,0.0,5.0,11.0,0.0,0.0,0.204,0.208,0.337,0.339
Jake McCarthy,ARI,664983,67.0,206.0,222.0,42.0,26.0,7.0,5.0,4.0,18.0,20.0,10.0,0.0,40.0,2.0,1.0,3.0,2.0,6.0,0.0,0.204,0.246,0.345,0.382
Bryce Teodosio,LAA,669326,50.0,138.0,150.0,28.0,18.0,7.0,2.0,1.0,12.0,7.0,5.0,0.0,47.0,4.0,2.0,1.0,2.0,7.0,1.0,0.203,0.19,0.304,0.269
Dylan Carlson,BAL,666185,83.0,217.0,241.0,44.0,28.0,9.0,1.0,6.0,17.0,20.0,21.0,0.0,54.0,2.0,1.0,0.0,3.0,3.0,3.0,0.203,0.221,0.336,0.367
Enrique Hernandez,LAD,571771,93.0,232.0,256.0,47.0,29.0,8.0,0.0,10.0,30.0,35.0,18.0,0.0,68.0,0.0,5.0,1.0,7.0,0.0,0.0,0.203,0.225,0.366,0.399
J.C. Escarra,NYY,641555,40.0,84.0,98.0,17.0,10.0,5.0,0.0,2.0,5.0,11.0,11.0,0.0,14.0,1.0,2.0,0.0,1.0,1.0,0.0,0.202,0.238,0.333,0.359
Matt Wallner,MIN,670242,104.0,336.0,392.0,68.0,27.0,16.0,3.0,22.0,47.0,40.0,46.0,0.0,114.0,8.0,2.0,0.0,3.0,4.0,3.0,0.202,0.214,0.464,0.45
Orlando Arcia,COL,606115,76.0,203.0,214.0,41.0,30.0,7.0,1.0,3.0,13.0,13.0,10.0,0.0,47.0,0.0,1.0,0.0,4.0,0.0,1.0,0.202,0.219,0.291,0.306
Tim Tawa,ARI,694374,74.0,199.0,225.0,40.0,25.0,8.0,0.0,7.0,29.0,18.0,20.0,0.0,64.0,1.0,3.0,2.0,6.0,8.0,2.0,0.201,0.214,0.347,0.375
Dylan Moore,TEX,664238,106.0,219.0,243.0,44.0,28.0,5.0,0.0,11.0,35.0,25.0,20.0,0.0,82.0,1.0,3.0,0.0,1.0,14.0,5.0,0.201,0.2,0.374,0.345
Michael A. Taylor,CHW,572191,134.0,295.0,325.0,59.0,29.0,20.0,1.0,9.0,33.0,35.0,23.0,1.0,110.0,1.0,2.0,4.0,7.0,8.0,3.0,0.2,0.196,0.366,0.387
Liover Peguero,PIT,678894,33.0,80.0,88.0,16.0,11.0,1.0,0.0,4.0,9.0,8.0,6.0,0.0,25.0,2.0,0.0,0.0,3.0,4.0,0.0,0.2,0.182,0.362,0.304
Oneil Cruz,PIT,665833,135.0,471.0,544.0,94.0,53.0,18.0,3.0,20.0,62.0,61.0,64.0,4.0,174.0,4.0,5.0,0.0,6.0,38.0,5.0,0.2,0.229,0.378,0.438
Tyler O'Neill,BAL,641933,54.0,181.0,209.0,36.0,20.0,6.0,1.0,9.0,22.0,26.0,22.0,1.0,51.0,3.0,3.0,0.0,2.0,4.0,0.0,0.199,0.254,0.392,0.549
Weston Wilson,PHI,642215,54.0,111.0,125.0,22.0,13.0,4.0,0.0,5.0,15.0,17.0,12.0,0.0,34.0,1.0,0.0,1.0,1.0,2.0,3.0,0.198,0.257,0.369,0.444
