Name,Team,xMLBAMID,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,xAVG,SLG,xSLG
Giancarlo Stanton,NYY,519317,77.0,249.0,281.0,68.0,36.0,8.0,0.0,24.0,36.0,66.0,29.0,3.0,96.0,1.0,1.0,0.0,5.0,0.0,0.0,0.273,0.246,0.594,0.537
Yordan Alvarez,HOU,670541,48.0,165.0,199.0,45.0,31.0,8.0,0.0,6.0,17.0,27.0,28.0,5.0,33.0,0.0,6.0,0.0,1.0,1.0,1.0,0.273,0.295,0.43,0.558
Kyle Teel,CHW,691019,78.0,253.0,297.0,69.0,50.0,11.0,0.0,8.0,38.0,35.0,37.0,0.0,77.0,5.0,1.0,1.0,1.0,3.0,1.0,0.273,0.246,0.411,0.43
Alex Bregman,BOS,608324,114.0,433.0,495.0,118.0,72.0,28.0,0.0,18.0,64.0,62.0,51.0,3.0,70.0,9.0,2.0,0.0,12.0,1.0,1.0,0.273,0.263,0.462,0.44
Matt Olson,ATL,621566,162.0,624.0,724.0,170.0,98.0,41.0,2.0,29.0,98.0,95.0,91.0,2.0,176.0,4.0,5.0,0.0,14.0,1.0,0.0,0.272,0.262,0.484,0.506
Pete Alonso,NYM,624413,162.0,624.0,709.0,170.0,90.0,41.0,1.0,38.0,87.0,126.0,61.0,5.0,162.0,15.0,9.0,0.0,23.0,1.0,2.0,0.272,0.288,0.524,0.592
Cody Bellinger,NYY,641355,152.0,588.0,656.0,160.0,101.0,25.0,5.0,29.0,89.0,98.0,57.0,1.0,90.0,2.0,9.0,0.0,8.0,13.0,2.0,0.272,0.261,0.48,0.436
Steven Kwan,CLE,680757,156.0,625.0,693.0,170.0,129.0,29.0,1.0,11.0,81.0,56.0,55.0,2.0,60.0,3.0,7.0,3.0,3.0,21.0,5.0,0.272,0.279,0.374,0.371
Spencer Horwitz,PIT,687462,108.0,364.0,411.0,99.0,62.0,26.0,0.0,11.0,55.0,51.0,44.0,1.0,73.0,2.0,1.0,0.0,7.0,0.0,1.0,0.272,0.259,0.434,0.414
Andy Pages,LAD,681624,156.0,581.0,624.0,158.0,103.0,27.0,1.0,27.0,74.0,86.0,29.0,0.0,135.0,8.0,6.0,0.0,9.0,14.0,7.0,0.272,0.266,0.461,0.443
Corey Seager,TEX,608369,102.0,380.0,445.0,103.0,63.0,19.0,0.0,21.0,61.0,50.0,58.0,10.0,87.0,5.0,2.0,0.0,13.0,3.0,0.0,0.271,0.298,0.487,0.591
Andruw Monasterio,MIL,655316,68.0,126.0,135.0,34.0,21.0,9.0,0.0,4.0,19.0,16.0,7.0,0.0,32.0,2.0,0.0,0.0,1.0,2.0,1.0,0.27,0.236,0.437,0.388
Starling Marte,NYM,516782,98.0,293.0,329.0,79.0,56.0,14.0,0.0,9.0,37.0,34.0,22.0,0.0,68.0,9.0,4.0,1.0,7.0,7.0,2.0,0.27,0.257,0.41,0.406
Mickey Moniak,COL,666160,135.0,434.0,461.0,117.0,65.0,20.0,8.0,24.0,62.0,68.0,22.0,1.0,110.0,2.0,3.0,0.0,4.0,9.0,3.0,0.27,0.277,0.518,0.519
Jackson Chourio,MIL,694192,131.0,549.0,589.0,148.0,88.0,35.0,4.0,21.0,88.0,78.0,30.0,1.0,121.0,3.0,6.0,1.0,13.0,21.0,7.0,0.27,0.26,0.463,0.442
Ildemaro Vargas,ARI,545121,38.0,115.0,121.0,31.0,25.0,2.0,1.0,3.0,12.0,19.0,2.0,0.0,15.0,2.0,1.0,1.0,3.0,0.0,0.0,0.27,0.265,0.383,0.386
Rob Refsnyder,BOS,608701,70.0,182.0,209.0,49.0,28.0,12.0,0.0,9.0,29.0,30.0,24.0,1.0,54.0,1.0,2.0,0.0,6.0,3.0,0.0,0.269,0.252,0.484,0.47
Gavin Lux,CIN,666158,140.0,446.0,503.0,120.0,85.0,28.0,2.0,5.0,49.0,53.0,56.0,0.0,114.0,0.0,1.0,0.0,3.0,1.0,0.0,0.269,0.248,0.374,0.34
Edgar Quero,CHW,700337,111.0,365.0,403.0,98.0,76.0,17.0,0.0,5.0,31.0,36.0,32.0,0.0,71.0,4.0,2.0,0.0,8.0,0.0,1.0,0.268,0.243,0.356,0.353
Fernando Tatis Jr.,SDP,665487,155.0,594.0,691.0,159.0,105.0,27.0,2.0,25.0,111.0,71.0,89.0,7.0,129.0,6.0,2.0,0.0,6.0,32.0,7.0,0.268,0.283,0.446,0.506
Adam Frazier,KCR,624428,134.0,419.0,459.0,112.0,85.0,20.0,0.0,7.0,43.0,44.0,26.0,2.0,81.0,8.0,5.0,1.0,8.0,8.0,6.0,0.267,0.249,0.365,0.335
Francisco Lindor,NYM,596019,160.0,644.0,732.0,172.0,106.0,35.0,0.0,31.0,117.0,86.0,65.0,2.0,131.0,16.0,7.0,0.0,9.0,31.0,6.0,0.267,0.269,0.466,0.469
Julio Rodriguez,SEA,677594,160.0,652.0,710.0,174.0,107.0,31.0,4.0,32.0,106.0,95.0,44.0,5.0,152.0,12.0,2.0,0.0,15.0,30.0,6.0,0.267,0.284,0.474,0.495
Alex Call,LAD,669743,110.0,270.0,322.0,72.0,52.0,13.0,2.0,5.0,43.0,31.0,36.0,0.0,55.0,6.0,4.0,6.0,6.0,2.0,1.0,0.267,0.248,0.385,0.369
Jung Hoo Lee,SFG,808982,150.0,560.0,617.0,149.0,98.0,31.0,12.0,8.0,73.0,55.0,47.0,0.0,71.0,6.0,4.0,0.0,2.0,10.0,3.0,0.266,0.283,0.407,0.391
Ryan Jeffers,MIN,680777,119.0,406.0,464.0,108.0,73.0,26.0,0.0,9.0,47.0,47.0,50.0,1.0,91.0,7.0,1.0,0.0,9.0,1.0,1.0,0.266,0.253,0.397,0.409
Kyle Tucker,CHC,663656,136.0,500.0,597.0,133.0,82.0,25.0,4.0,22.0,91.0,73.0,87.0,7.0,88.0,4.0,3.0,1.0,8.0,25.0,3.0,0.266,0.282,0.464,0.5
Masataka Yoshida,BOS,807799,55.0,188.0,205.0,50.0,35.0,11.0,0.0,4.0,16.0,26.0,10.0,0.0,24.0,3.0,4.0,0.0,3.0,3.0,0.0,0.266,0.28,0.388,0.404
Austin Hays,CIN,669720,103.0,380.0,416.0,101.0,65.0,16.0,5.0,15.0,60.0,64.0,29.0,2.0,107.0,1.0,6.0,0.0,9.0,7.0,0.0,0.266,0.244,0.453,0.419
Heriberto Hernandez,MIA,681715,87.0,256.0,294.0,68.0,45.0,12.0,1.0,10.0,40.0,45.0,31.0,0.0,77.0,3.0,4.0,0.0,6.0,1.0,1.0,0.266,0.252,0.438,0.442
Jorge Polanco,SEA,593871,138.0,471.0,524.0,125.0,69.0,30.0,0.0,26.0,64.0,78.0,42.0,1.0,82.0,3.0,5.0,3.0,7.0,6.0,3.0,0.265,0.276,0.495,0.472
Jose Altuve,HOU,514888,155.0,588.0,654.0,156.0,105.0,24.0,1.0,26.0,80.0,77.0,55.0,5.0,109.0,4.0,6.0,1.0,20.0,10.0,6.0,0.265,0.245,0.442,0.394
Jordan Westburg,BAL,676059,85.0,328.0,352.0,87.0,59.0,10.0,1.0,17.0,59.0,41.0,17.0,0.0,80.0,6.0,1.0,0.0,5.0,1.0,2.0,0.265,0.262,0.457,0.468
J.P. Crawford,SEA,641487,157.0,570.0,654.0,151.0,115.0,24.0,0.0,12.0,69.0,58.0,74.0,1.0,122.0,3.0,1.0,6.0,11.0,8.0,1.0,0.265,0.273,0.37,0.396
Lenyn Sosa,CHW,672820,140.0,518.0,544.0,137.0,94.0,20.0,1.0,22.0,57.0,75.0,18.0,0.0,127.0,4.0,3.0,1.0,11.0,2.0,1.0,0.264,0.275,0.434,0.484
Christian Koss,SFG,683766,76.0,174.0,191.0,46.0,34.0,9.0,0.0,3.0,25.0,23.0,9.0,0.0,45.0,3.0,2.0,3.0,4.0,4.0,1.0,0.264,0.271,0.368,0.415
Byron Buxton,MIN,621439,126.0,488.0,542.0,129.0,66.0,21.0,7.0,35.0,97.0,83.0,41.0,5.0,148.0,7.0,6.0,0.0,0.0,24.0,0.0,0.264,0.259,0.551,0.534
Nolan Schanuel,LAA,694384,132.0,488.0,564.0,129.0,93.0,23.0,1.0,12.0,64.0,53.0,59.0,4.0,71.0,10.0,4.0,3.0,10.0,5.0,1.0,0.264,0.27,0.389,0.398
